player_name,youtube_url,image_url,FG%,FT%,3P,PTS,REB,AST,STL,BLK,TOV
Lauri Markkanen,https://www.youtube-nocookie.com/embed/b3FV1R012zw?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk_VWJ1LZAM35SB_G0yDlxYciGHl9XGj5yKMmzHHjCsdk4RQIXCH6iMR4hQQ&s,0.489,0.87,2.9,23.9,8,1.9,0.7,0.6,1.9
Michael Porter Jr.,https://www.youtube-nocookie.com/embed/ENU83rB4SOI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT25K38-P-X0YFW1OERKX5rCAXuHmwW6ytqkTZCpkMOgRLrxS2F4ApUk64_Sw&s,0.472,0.78,2.9,17.3,5.9,1.2,0.7,0.5,1.2
Daniel Gafford,https://www.youtube-nocookie.com/embed/XEOCI4T8DqI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM6fTD-BEboO7cEb49okctWoinVGZTn4JNU9xgZEqDR3uPyIdRRbxiaK05qw&s,0.712,0.688,0,12.8,7.8,1.4,0.6,1.7,1.4
Devin Vassell,https://www.youtube-nocookie.com/embed/dE-w_kDG4hg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRorqt9eVtuVmimXw_Q1K36wQQuXXdtYM_unFWTDoCWefUKozX_XptxW71fJlc&s,0.433,0.823,2.9,18.3,4.3,3.8,1.2,0.6,1.2
Julius Randle,https://www.youtube-nocookie.com/embed/KXzF0OKBC3Q?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaCCEIZfHGEAYUGkV46nqyAhuHi_mr9hq8V_YUWvnJmnQ3zuz5YA3kOLyiWL4&s,0.452,0.756,2.3,22.9,10,4.7,0.7,0.4,3.1
Khris Middleton,https://www.youtube-nocookie.com/embed/DRA2f8uYi3M?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTprS4osrm9LY1_b1770DDWjIhy2P6Y5YfHpYpPpWwWjlVKQbXyEYzkpvUsw&s,0.447,0.897,2,17,4.8,4,1.1,0.3,2.3
Miles Bridges,https://www.youtube-nocookie.com/embed/qdudxgQeWkc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStFqsFxxiTDUA2YfCJ_tVHyNrUBVx1SyYPR9p4v5Fo11wt67gJGW_PCTMI6bg&s,0.483,0.801,1.7,17.3,6.1,3.3,0.8,0.7,1.6
Klay Thompson,https://www.youtube-nocookie.com/embed/hkkQc4Pb6bA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSA9GFeFw1WZuOpaafvvAVneoT63lOe7pn6YRaI3egrhvAhTGv3sjrS-nzy_Q&s,0.434,0.888,4.2,21.2,4,2.4,0.6,0.5,1.6
Tyus Jones,https://www.youtube-nocookie.com/embed/ctCQ60bP74I?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHYxeqBhdUGchXFfP3NmDHXhnIVJ3Qzd6xTn310XVRG9_K8x7sCH81QWIWmg&s,0.443,0.805,1.9,13.5,3.5,7.4,1.4,0.1,1.1
Jakob Poeltl,https://www.youtube-nocookie.com/embed/w1ioCBTjtJ8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKnQekchrltAADdnGFNlsto1lqf205f5dIJ-qkT6860Aek5XH6iTTlgGzOww&s,0.624,0.55,0,13.1,9.3,2.8,0.8,1.4,1.7
D'Angelo Russell,https://www.youtube-nocookie.com/embed/GF-Icm78Dx0?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL1zeeMJANPzrZBjTYSPlM_cU2PCnXQmtGH1AD3rNS3wH3q24DU1sIU9a3Aus&s,0.44,0.826,2.6,16.9,3,6.2,0.9,0.4,2.4
Clint Capela,https://www.youtube-nocookie.com/embed/lEhyiTp8xq8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOdevExN_9lQFDWbTtxnt9LGEg7Zf9P2LVBfswY_tPzkZbKPRmBHC2iXqnIKQ&s,0.631,0.573,0,11.4,11.2,1.1,0.7,1.2,0.7
Austin Reaves,https://www.youtube-nocookie.com/embed/xrYKwUYnI8Q?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEfGJ5PSLLn__WlaG1Hoogw0SI4HiLPtOmSdCeUK83-ffTxu_zX962pagjHQ&s,0.501,0.856,1.6,15.4,3.3,3.8,0.7,0.5,1.6
